"Games","GPU_Types","CPU_Frequency","Average_FPS"
"1","1","3",138.2517
"1","1","3",138.9591
"1","1","3",139.3904
"1","1","3",138.5622
"1","1","3",141.8548
"1","1","2",129.7517
"1","1","2",130.7002
"1","1","2",127.9217
"1","1","2",133.3924
"1","1","2",134.7216
"1","1","1",110.3875
"1","1","1",114.779
"1","1","1",120.2567
"1","1","1",120.6989
"1","1","1",119.4208
"1","2","3",135.2621
"1","2","3",136.4385
"1","2","3",135.6388
"1","2","3",137.1297
"1","2","3",137.1402
"1","2","2",130.3253
"1","2","2",131.2964
"1","2","2",130.6988
"1","2","2",132.1979
"1","2","2",132.5244
"1","2","1",122.3398
"1","2","1",121.9828
"1","2","1",122.1089
"1","2","1",121.5463
"1","2","1",122.4852
"2","1","3",92
"2","1","3",92
"2","1","3",92
"2","1","3",92
"2","1","3",92
"2","1","2",90
"2","1","2",90
"2","1","2",90
"2","1","2",91
"2","1","2",89
"2","1","1",87
"2","1","1",87
"2","1","1",86
"2","1","1",87
"2","1","1",86
"2","2","3",42
"2","2","3",42
"2","2","3",42
"2","2","3",42
"2","2","3",42
"2","2","2",41
"2","2","2",41
"2","2","2",41
"2","2","2",41
"2","2","2",42
"2","2","1",42
"2","2","1",41
"2","2","1",41
"2","2","1",41
"2","2","1",42
"3","1","3",97.46
"3","1","3",97.17
"3","1","3",97.31
"3","1","3",97.26
"3","1","3",97
"3","1","2",96.55
"3","1","2",96.95
"3","1","2",96.46
"3","1","2",97.51
"3","1","2",97.4
"3","1","1",93.61
"3","1","1",93.75
"3","1","1",94.51
"3","1","1",94.71
"3","1","1",95.27
"3","2","3",31.63
"3","2","3",31.71
"3","2","3",31.76
"3","2","3",31.77
"3","2","3",31.77
"3","2","2",31.99
"3","2","2",32.18
"3","2","2",32.03
"3","2","2",32.13
"3","2","2",32.51
"3","2","1",31.67
"3","2","1",31.82
"3","2","1",31.77
"3","2","1",31.97
"3","2","1",32.22
